,duichanghao,hang,lie,x,y
1,0,1,1,307.8,-129.7
2,0,1,2,940.7,-129.7
3,0,1,3,1573.6,-129.7
4,0,1,4,2206.5,-129.7
5,0,1,5,2839.4,-129.7
6,0,1,6,3472.3,-129.7
7,0,1,7,4105.2,-129.7
8,0,1,8,4738.1,-129.7
9,0,1,9,5371,-129.7
10,0,1,10,6003.9,-129.7
11,0,1,11,6636.8,-129.7
12,0,1,12,7269.7,-129.7
13,0,1,13,7902.6,-129.7
14,0,1,14,8535.5,-129.7
15,0,1,15,9168.4,-129.7
16,0,1,16,9801.3,-129.7
17,0,1,17,10434.2,-129.7
18,0,1,18,11067.1,-129.7
19,0,1,19,11700,-129.7
20,0,1,20,12332.9,-129.7
21,0,1,21,12965.8,-129.7
22,0,1,22,13598.7,-129.7
23,0,1,23,14231.6,-129.7
24,0,1,24,14864.5,-129.7
25,0,1,25,15497.4,-129.7
26,0,1,26,16130.3,-129.7
27,0,1,27,16763.2,-129.7
28,0,1,28,17396.1,-129.7
29,0,1,29,18029,-129.7
30,0,1,30,18661.9,-129.7
31,0,1,31,19294.8,-129.7
32,0,1,32,19927.7,-129.7
33,0,1,33,20560.6,-129.7
34,0,1,34,21193.5,-129.7
35,0,1,35,21826.4,-129.7
36,0,1,36,22459.3,-129.7
37,0,1,37,23092.2,-129.7
38,0,2,1,308,-408.7
39,0,2,2,940.9,-408.7
40,0,2,3,1573.8,-408.7
41,0,2,4,2206.7,-408.7
42,0,2,5,2839.6,-408.7
43,0,2,6,3472.5,-408.7
44,0,2,7,4105.4,-408.7
45,0,2,8,4738.3,-408.7
46,0,2,9,5371.2,-408.7
47,0,2,10,6004.1,-408.7
48,0,2,11,6637,-408.7
49,0,2,12,7269.9,-408.7
50,0,2,13,7902.8,-408.7
51,0,2,14,8535.7,-408.7
52,0,2,15,9168.6,-408.7
53,0,2,16,9801.5,-408.7
54,0,2,17,10434.4,-408.7
55,0,2,18,11067.3,-408.7
56,0,2,19,11700.2,-408.7
57,0,2,20,12333.1,-408.7
58,0,2,21,12966,-408.7
59,0,2,22,13598.9,-408.7
60,0,2,23,14231.8,-408.7
61,0,2,24,14864.7,-408.7
62,0,2,25,15497.6,-408.7
63,0,2,26,16130.5,-408.7
64,0,2,27,16763.4,-408.7
65,0,2,28,17396.3,-408.7
66,0,2,29,18029.2,-408.7
67,0,2,30,18662.1,-408.7
68,0,2,31,19295,-408.7
69,0,2,32,19927.9,-408.7
70,0,2,33,20560.8,-408.7
71,0,2,34,21193.7,-408.7
72,0,2,35,21826.6,-408.7
73,0,2,36,22459.5,-408.7
74,0,2,37,23092.4,-408.7
75,0,3,1,308.2,-687.7
76,0,3,2,941.1,-687.7
77,0,3,3,1574,-687.7
78,0,3,4,2206.9,-687.7
79,0,3,5,2839.8,-687.7
80,0,3,6,3472.7,-687.7
81,0,3,7,4105.6,-687.7
82,0,3,8,4738.5,-687.7
83,0,3,9,5371.4,-687.7
84,0,3,10,6004.3,-687.7
85,0,3,11,6637.2,-687.7
86,0,3,12,7270.1,-687.7
87,0,3,13,7903,-687.7
88,0,3,14,8535.9,-687.7
89,0,3,15,9168.8,-687.7
90,0,3,16,9801.7,-687.7
91,0,3,17,10434.6,-687.7
92,0,3,18,11067.5,-687.7
93,0,3,19,11700.4,-687.7
94,0,3,20,12333.3,-687.7
95,0,3,21,12966.2,-687.7
96,0,3,22,13599.1,-687.7
97,0,3,23,14232,-687.7
98,0,3,24,14864.9,-687.7
99,0,3,25,15497.8,-687.7
100,0,3,26,16130.7,-687.7
101,0,3,27,16763.6,-687.7
102,0,3,28,17396.5,-687.7
103,0,3,29,18029.4,-687.7
104,0,3,30,18662.3,-687.7
105,0,3,31,19295.2,-687.7
106,0,3,32,19928.1,-687.7
107,0,3,33,20561,-687.7
108,0,3,34,21193.9,-687.7
109,0,3,35,21826.8,-687.7
110,0,3,36,22459.7,-687.7
111,0,3,37,23092.6,-687.7
112,0,4,1,308.4,-966.7
113,0,4,2,941.3,-966.7
